fixed acidity;volatile acidity;citric acid;residual sugar;chlorides;free sulfur dioxide;total sulfur dioxide;density;pH;sulphates;alcohol;quality
12.0;0.34;0.0;4.4;0.088;7;19;0.9974;3.44;0.56;11.8;7
6.6;0.57;0.08;1.5;0.082;1;6;0.9974;3.23;0.61;9.6;5
6.2;0.9;0.59;4.3;0.018;19;60;0.9974;3.43;0.33;11.1;4
10.3;0.36;0.16;1.3;0.166;3;6;0.9989;3.35;0.39;12.0;7
9.7;0.12;0.04;4.5;0.062;2;6;0.9966;3.52;0.47;10.9;7
9.4;0.48;0.23;1.8;0.039;14;33;0.9952;3.42;0.65;10.2;6
9.4;0.73;0.67;1.8;0.097;19;28;1.0009;3.4;0.64;11.9;5
8.3;0.88;0.0;2.3;0.03;21;77;0.9984;3.52;0.71;10.7;4
6.8;0.31;0.07;5.4;0.083;9;31;0.997;3.31;0.77;9.7;7
8.5;0.62;0.56;1.3;0.014;4;15;0.9969;3.19;0.71;9.2;5
7.1;0.44;0.63;1.9;0.122;17;26;0.9973;3.34;0.47;8.4;5
10.0;0.51;0.25;4.1;0.048;15;38;0.9963;3.26;0.71;12.5;6
8.1;1.0;0.03;2.0;0.073;4;14;0.9969;3.4;0.77;9.5;4
6.9;0.26;0.68;1.5;0.027;29;100;0.9976;3.32;0.59;11.5;7
7.8;0.57;0.58;2.0;0.08;2;6;0.9953;3.37;0.34;9.4;5
9.0;0.61;0.4;1.9;0.101;50;166;0.9936;3.13;0.86;10.6;5
7.3;0.72;0.11;4.9;0.05;25;63;0.9928;3.39;0.67;10.9;5
6.9;0.55;0.26;3.4;0.07;15;23;0.9984;3.11;0.33;9.1;5
8.7;0.58;0.24;2.3;0.049;35;83;0.9937;3.46;1.01;11.4;6
8.7;0.46;0.34;7.9;0.147;16;56;0.9976;3.46;0.58;10.2;6
7.4;0.58;0.55;2.1;0.053;4;6;0.9945;3.36;1.07;11.0;6
7.5;0.47;0.44;1.3;0.123;8;28;0.9945;3.36;0.72;12.0;6
8.7;0.64;0.06;1.7;0.109;2;6;0.9953;3.28;0.62;11.2;5
5.8;0.46;0.54;2.1;0.044;7;19;0.9971;3.22;0.69;10.3;6
5.9;0.6;0.33;1.5;0.028;17;29;0.9943;3.31;0.54;12.5;6
7.1;0.52;0.4;5.6;0.043;7;12;0.9955;3.62;0.67;10.4;6
7.9;0.73;0.56;3.4;0.117;6;16;0.9967;3.35;1.0;10.5;5
8.9;0.52;0.05;1.7;0.027;12;25;0.9944;3.1;0.51;10.2;5
10.9;0.21;0.26;2.5;0.057;26;70;0.9994;3.05;0.75;9.1;7
9.8;0.75;0.17;3.1;0.11;2;6;0.9934;3.09;0.54;9.0;4
8.0;0.37;0.0;5.5;0.038;7;19;0.9963;3.25;0.63;9.8;6
8.3;0.41;0.34;4.4;0.074;3;8;0.9991;3.51;0.99;9.3;6
6.6;0.42;0.76;2.3;0.029;15;42;0.9942;3.15;0.75;10.1;6
8.3;0.77;0.0;3.4;0.019;2;9;0.9965;3.53;0.78;11.3;5
7.8;0.15;0.26;2.4;0.107;14;57;0.997;3.34;0.67;10.0;7
8.9;1.09;0.4;2.4;0.018;5;17;0.9952;3.39;1.12;10.7;4
6.9;0.72;0.3;1.4;0.031;4;11;0.9966;3.38;0.5;9.9;5
9.2;0.57;0.25;1.4;0.128;34;108;0.9978;3.4;0.39;13.1;6
11.0;0.52;0.02;2.3;0.038;1;6;0.9958;3.25;0.94;12.0;6
8.1;0.58;0.32;1.7;0.229;8;27;0.9982;2.95;0.59;10.2;5
9.0;0.62;0.12;1.2;0.246;1;6;0.9974;3.22;0.73;10.7;5
9.5;0.64;0.0;3.1;0.031;9;24;0.9956;3.17;0.95;9.0;5
7.6;0.63;0.5;1.2;0.015;9;18;0.9988;3.36;0.73;10.2;5
8.7;0.54;0.46;2.6;0.085;6;14;0.9953;3.34;1.04;9.8;6
8.3;0.49;0.28;2.4;0.048;3;7;0.9983;3.27;0.68;11.2;6
8.5;0.5;0.32;6.4;0.018;7;29;0.9953;3.58;0.54;9.4;5
7.0;0.49;0.48;2.2;0.086;14;52;0.9961;3.21;0.33;12.2;6
8.4;0.73;0.31;1.3;0.014;19;48;0.9964;2.97;0.71;10.3;5
9.2;0.63;0.45;2.4;0.135;10;37;0.9973;3.33;0.33;9.5;5
10.8;0.12;0.21;4.0;0.021;12;34;0.9921;3.49;0.71;10.5;7
10.0;0.65;0.53;9.8;0.02;4;16;0.9976;3.36;0.91;11.2;5
12.1;0.56;0.33;2.0;0.024;5;14;0.9965;3.26;0.66;11.0;6
7.0;0.52;0.31;1.8;0.206;3;6;0.9972;3.35;0.69;10.6;6
9.8;0.46;0.02;4.8;0.083;4;13;0.9977;3.59;0.81;11.4;6
8.6;0.73;0.33;1.5;0.109;4;11;0.9974;3.18;0.77;11.3;5
12.1;0.7;0.11;2.6;0.042;10;19;0.9929;3.32;0.86;11.3;5
6.9;0.39;0.15;2.0;0.037;11;38;0.9947;3.41;0.65;10.1;6
6.9;0.6;0.11;1.3;0.028;36;148;0.9973;3.35;0.33;10.1;5
7.3;0.35;0.06;1.8;0.051;4;8;0.9971;3.27;0.86;10.2;7
4.6;0.28;0.69;1.7;0.06;13;50;0.9952;3.25;0.62;9.9;6
7.4;0.42;0.53;2.9;0.072;21;54;0.9981;3.27;0.51;10.5;6
7.0;0.68;0.65;5.7;0.03;11;32;0.9962;3.39;0.72;10.4;5
8.6;0.7;0.03;1.7;0.19;5;13;0.9984;3.38;0.69;12.2;5
8.9;0.62;0.28;3.7;0.023;5;14;0.999;3.63;0.53;9.9;5
11.6;0.66;0.02;1.3;0.214;1;6;0.9972;3.07;0.44;9.4;5
10.0;0.62;0.14;2.4;0.013;5;12;0.9978;3.58;0.74;11.1;6
7.3;0.41;0.09;1.3;0.051;17;70;0.9955;3.28;0.51;10.5;6
6.8;0.61;0.51;5.3;0.036;2;6;0.9984;3.3;0.68;9.7;5
9.2;0.67;0.19;3.4;0.048;4;15;0.9971;3.44;0.72;11.3;5
6.0;0.66;0.48;2.8;0.063;16;37;0.9961;3.44;0.82;10.1;5
11.5;0.74;0.39;3.8;0.046;19;41;0.9944;3.49;1.02;12.1;5
10.4;0.65;0.72;2.8;0.044;8;33;0.9958;3.52;0.7;9.4;5
7.5;0.59;0.0;6.4;0.091;15;32;0.9946;3.3;0.59;9.8;5
5.3;0.72;0.52;3.1;0.081;7;21;0.9981;3.52;0.94;10.6;5
10.7;0.52;0.49;5.1;0.119;3;12;0.999;3.21;0.84;11.9;6
8.1;0.37;0.08;2.3;0.029;7;21;0.9984;3.26;0.69;9.7;6
10.5;0.5;0.47;1.4;0.068;11;45;1.0014;3.28;0.7;10.8;6
5.5;0.39;0.34;2.3;0.065;36;102;0.9958;3.23;0.66;9.2;6
7.3;0.41;0.23;1.4;0.04;2;6;0.9978;3.32;0.69;11.4;6
8.3;0.5;0.11;2.5;0.052;9;31;0.9945;3.45;0.64;9.7;6
8.4;0.39;0.13;2.2;0.035;6;18;0.9963;3.41;0.49;11.1;6
7.5;0.47;0.67;2.7;0.021;10;49;0.9939;3.22;0.66;11.1;6
9.4;0.19;0.27;1.2;0.026;1;6;0.9978;3.2;0.96;8.5;7
6.5;0.57;0.42;1.5;0.019;6;15;0.996;3.18;0.52;10.6;5
8.1;0.53;0.12;2.2;0.081;22;52;0.9928;3.32;0.61;9.9;5
8.5;0.38;0.12;5.7;0.077;11;31;0.9954;3.07;0.51;11.0;6
9.2;0.65;0.48;1.9;0.192;8;23;1.0001;3.17;0.85;9.5;5
9.6;0.7;0.01;2.0;0.09;5;12;0.9975;3.24;0.8;9.8;5
6.4;0.24;0.19;3.1;0.015;5;18;0.9982;3.47;0.44;11.7;7
5.7;0.39;0.28;2.6;0.141;7;19;0.9969;3.29;0.33;11.6;6
10.5;0.39;0.29;1.7;0.131;23;92;0.9964;3.47;0.81;9.4;6
8.9;0.36;0.24;2.0;0.047;42;104;0.9967;3.34;0.43;12.3;6
7.0;0.68;0.35;1.6;0.065;8;36;0.9972;3.24;0.8;8.4;5
11.0;0.49;0.41;6.3;0.236;7;23;0.9946;3.24;0.55;10.6;6
8.5;0.48;0.41;1.4;0.058;23;94;0.9981;3.13;0.78;9.0;5
10.4;0.17;0.08;1.9;0.153;8;24;0.9988;3.68;0.73;10.8;7
8.4;0.64;0.22;1.2;0.017;11;25;0.9963;3.48;0.57;10.1;5
11.9;0.31;0.5;1.6;0.025;4;12;0.9957;3.4;0.51;9.3;6
11.4;0.54;0.45;3.5;0.047;17;33;0.9953;3.11;0.76;9.6;5
7.9;0.58;0.0;1.5;0.065;10;29;1.0;3.24;0.54;9.6;5
10.0;0.77;0.34;1.3;0.114;21;65;0.9958;3.16;0.85;10.5;5
9.4;0.29;0.0;2.2;0.279;19;58;0.9979;3.33;0.52;11.5;6
10.7;0.12;0.28;1.2;0.042;4;16;0.9963;3.17;0.72;12.5;8
6.6;0.56;0.64;1.3;0.015;16;46;0.9962;3.21;0.59;10.2;6
9.5;0.85;0.09;3.7;0.109;20;30;0.9952;3.17;0.66;10.7;5
10.2;0.75;0.11;3.4;0.068;6;36;0.9949;3.27;0.54;11.7;5
5.3;0.57;0.42;4.9;0.025;3;8;0.9981;3.32;0.63;9.9;5
6.3;0.44;0.0;4.1;0.053;1;6;0.9948;3.28;0.33;9.6;5
4.8;0.67;0.15;2.9;0.093;8;15;0.9976;3.55;0.52;12.5;5
7.9;0.35;0.39;1.3;0.1;6;20;0.9969;3.44;0.56;10.2;7
9.6;0.61;0.15;3.5;0.054;11;25;0.9981;3.19;0.65;10.7;5
10.9;0.62;0.22;4.0;0.034;3;6;0.9955;3.36;0.88;8.7;5
8.4;0.72;0.42;3.6;0.23;25;68;0.9988;3.2;0.54;9.9;5
11.2;1.02;0.35;2.3;0.077;5;14;0.9964;3.25;0.9;12.4;4
5.9;0.6;0.32;1.6;0.043;4;12;1.0016;3.38;0.51;10.9;5
5.4;0.44;0.2;4.0;0.032;9;28;0.9936;3.41;0.47;10.4;6
8.2;0.52;0.34;3.1;0.091;9;26;1.0013;3.22;0.34;11.9;6
9.0;0.21;0.25;7.1;0.029;4;12;0.9965;3.14;0.76;8.7;6
8.3;0.4;0.36;1.5;0.023;5;15;0.9971;3.32;0.67;10.0;6
4.7;0.45;0.17;1.6;0.057;3;10;0.9956;3.38;0.75;12.9;6
8.2;0.43;0.24;1.6;0.033;16;46;0.9937;3.21;0.68;10.4;6
6.1;0.56;0.08;3.6;0.071;19;43;0.9957;3.44;0.66;10.4;5
9.5;0.38;0.26;1.5;0.02;8;29;0.996;3.41;0.71;11.7;6
9.0;0.73;0.11;1.3;0.076;16;44;0.997;3.21;1.02;11.8;5
6.7;0.53;0.05;11.0;0.032;17;46;0.9988;3.49;0.58;9.0;5
7.4;0.53;0.32;1.2;0.012;3;9;0.9971;3.49;1.01;10.9;6
6.5;0.47;0.31;3.9;0.02;42;132;0.9971;3.63;0.8;12.3;6
8.2;0.56;0.42;1.9;0.175;22;53;0.9974;3.57;0.72;9.7;6
10.0;0.68;0.19;4.0;0.133;4;15;0.9934;3.17;0.75;10.0;5
6.6;0.37;0.35;2.4;0.028;3;7;0.9935;3.45;0.33;10.5;6
9.2;0.41;0.38;4.7;0.102;3;6;0.9939;3.45;0.61;11.2;6
7.4;0.47;0.36;5.1;0.068;3;10;0.996;3.26;0.54;8.9;6
6.9;0.29;0.11;1.2;0.224;18;77;0.9931;3.38;1.02;8.4;7
8.1;0.38;0.3;1.3;0.04;9;22;0.9954;3.02;0.6;10.7;6
6.5;0.44;0.34;1.6;0.081;19;64;0.9941;3.02;0.65;11.7;6
7.4;0.68;0.27;2.9;0.016;17;36;0.9976;3.05;0.65;10.1;5
6.2;0.57;0.0;4.5;0.042;12;27;0.9975;3.37;0.44;9.8;5
11.7;0.56;0.3;2.1;0.211;15;58;0.9961;3.38;0.56;10.2;5
8.4;0.68;0.7;2.6;0.058;1;6;0.9931;3.27;0.8;12.1;5
7.1;0.5;0.2;1.5;0.032;5;22;0.9962;3.58;0.33;9.7;5
8.7;0.6;0.13;3.7;0.02;13;51;0.9973;3.46;0.71;11.0;5
8.1;0.51;0.34;6.3;0.085;1;6;0.9982;3.06;0.5;9.2;5
7.9;0.58;0.33;1.7;0.074;1;6;1.0;3.28;0.88;9.2;5
9.4;0.42;0.5;2.2;0.04;24;77;0.9988;3.17;0.73;11.3;6
9.6;0.12;0.03;1.3;0.193;15;24;0.997;3.37;0.4;12.2;8
7.4;0.5;0.41;2.4;0.013;5;10;0.9962;3.31;0.59;11.4;6
7.3;0.78;0.39;2.2;0.034;15;62;0.9953;3.18;0.74;8.4;5
7.8;0.69;0.24;1.4;0.164;20;51;0.9993;3.57;0.61;10.0;5
4.6;0.7;0.34;2.1;0.035;5;19;0.997;3.32;0.68;10.7;5
5.7;0.75;0.47;1.8;0.029;1;6;0.9979;3.25;0.65;10.5;5
10.7;0.54;0.44;2.3;0.058;33;82;0.9956;3.27;0.81;8.4;6
11.2;0.56;0.05;2.5;0.116;6;10;0.9943;3.56;0.73;9.0;6
7.9;0.42;0.43;1.2;0.019;2;7;0.9959;3.45;0.65;9.6;6
9.3;0.47;0.26;3.3;0.184;9;38;0.9961;3.29;0.66;10.3;6
8.9;0.64;0.29;3.1;0.107;19;46;0.9971;3.16;0.47;8.4;5
13.7;0.74;0.29;1.9;0.024;4;12;0.9953;3.18;0.91;11.1;5
10.3;0.5;0.24;1.3;0.087;5;9;0.9967;3.24;1.16;10.3;6
8.1;0.45;0.5;3.3;0.041;4;11;0.9989;3.39;0.6;9.3;6
6.7;0.53;0.25;5.9;0.043;58;191;0.9935;3.43;0.67;10.6;6
5.5;0.64;0.05;1.6;0.104;4;13;0.9927;3.2;0.83;8.9;5
8.7;0.27;0.19;1.8;0.209;11;39;0.9991;3.43;0.83;10.4;7
7.0;0.12;0.31;1.5;0.02;32;48;0.9939;3.17;0.69;8.5;8
5.8;0.43;0.51;2.5;0.045;3;8;0.996;3.22;0.49;8.6;5
7.2;0.31;0.39;1.5;0.051;43;97;0.9979;3.09;0.97;9.9;7
6.4;0.44;0.11;1.9;0.04;36;100;0.9966;3.08;0.77;9.7;6
11.3;0.5;0.76;3.0;0.039;27;78;0.9966;3.17;0.7;10.8;6
9.9;0.45;0.32;2.4;0.015;4;15;0.9968;3.31;0.54;10.4;6
8.3;0.79;0.52;1.9;0.081;13;42;1.0015;3.16;0.67;12.7;5
10.9;0.59;0.24;2.0;0.046;18;75;1.0001;3.54;0.35;10.1;5
8.5;0.58;0.38;2.4;0.025;52;128;0.9954;3.17;0.78;8.4;5
6.8;0.64;0.43;1.2;0.114;3;6;0.9987;3.34;0.83;8.4;5
11.0;0.32;0.51;1.3;0.109;18;77;0.9977;3.51;0.7;9.1;6
9.3;0.71;0.48;4.4;0.052;6;20;0.9967;3.33;0.49;14.0;5
6.5;0.51;0.44;1.3;0.033;3;8;0.995;3.25;0.73;10.4;6
8.0;0.65;0.21;3.0;0.073;8;25;0.9976;3.33;0.79;11.6;6
6.8;0.34;0.16;5.0;0.032;20;73;0.9961;3.22;0.53;11.5;6
5.9;0.25;0.34;1.7;0.028;9;26;0.996;3.16;0.82;9.1;7
9.9;0.67;0.45;1.9;0.091;10;25;0.9952;3.41;0.75;8.5;5
11.6;0.6;0.23;2.5;0.014;65;172;0.9986;3.22;0.61;11.1;5
5.9;0.37;0.48;4.4;0.018;7;23;0.9952;3.46;0.56;8.4;6
9.3;0.37;0.55;5.5;0.012;12;39;0.9953;3.43;0.63;11.5;7
7.2;0.73;0.09;3.2;0.022;6;26;0.9982;3.34;0.49;10.3;5
7.5;0.32;0.11;1.3;0.016;7;19;0.9964;3.46;0.7;11.1;6
7.3;0.82;0.24;2.9;0.34;15;34;0.9965;3.23;0.75;10.7;5
6.8;0.37;0.33;2.0;0.032;34;174;0.9987;3.43;0.86;10.8;6
8.4;0.64;0.17;2.2;0.022;10;33;0.9992;3.43;0.71;10.5;5
6.9;0.47;0.53;1.3;0.029;19;68;0.9927;3.26;0.72;10.7;6
8.8;0.64;0.35;1.5;0.177;2;7;0.9965;3.24;0.61;10.5;5
8.2;0.43;0.28;3.5;0.056;4;12;0.994;3.36;0.51;8.9;6
7.9;0.5;0.0;2.1;0.039;9;26;0.996;3.61;0.58;10.0;6
6.7;0.54;0.01;1.7;0.136;1;6;0.9967;3.28;0.9;12.7;6
7.3;0.35;0.33;1.9;0.042;4;10;0.996;3.24;0.77;10.8;7
9.6;0.66;0.0;4.1;0.036;10;32;0.9948;3.49;0.73;11.6;5
9.2;0.44;0.47;3.3;0.026;1;6;0.9947;3.32;0.35;9.4;5
6.6;0.49;0.24;1.7;0.04;5;14;0.9981;3.44;0.71;9.3;6
8.5;0.35;0.9;1.4;0.035;10;34;0.9996;3.54;0.43;9.1;6
9.6;0.12;0.72;1.6;0.08;11;41;0.9928;3.02;0.44;9.0;7
5.4;0.49;0.24;5.0;0.033;32;112;0.9961;3.31;0.46;8.7;5
9.3;0.96;0.25;2.5;0.064;13;51;0.9981;3.28;0.53;10.7;4
7.2;0.67;0.47;2.3;0.016;7;32;0.9966;3.16;0.8;10.0;5
9.3;0.52;0.6;2.6;0.025;33;128;0.9946;3.02;0.7;11.4;6
7.0;0.48;0.0;1.9;0.043;19;61;0.9958;3.07;0.5;10.1;6
5.2;0.53;0.0;3.7;0.178;4;11;0.9973;3.33;0.56;8.4;5
5.5;0.63;0.15;2.3;0.04;3;8;0.9961;3.23;0.74;10.9;5
8.4;0.32;0.38;1.4;0.077;15;40;0.9966;3.19;0.78;8.4;7
8.8;0.73;0.37;1.4;0.03;11;42;0.9967;3.33;0.68;10.6;5
6.7;0.66;0.48;2.4;0.02;20;68;0.9957;3.2;0.46;9.6;5
9.4;0.66;0.04;5.3;0.016;17;46;0.9983;3.51;0.59;10.7;5
5.4;0.61;0.0;1.8;0.034;13;52;0.9958;3.22;1.06;8.9;6
8.2;0.53;0.44;4.3;0.022;53;145;0.9948;3.54;0.45;11.3;5
6.2;0.65;0.11;3.4;0.023;10;23;1.0009;3.31;0.72;10.5;5
7.2;0.63;0.0;1.6;0.098;2;7;0.9966;3.21;1.02;10.1;5
8.4;0.46;0.3;1.3;0.013;22;52;0.9918;3.2;0.61;8.6;6
6.8;0.43;0.43;1.4;0.061;4;17;0.9991;3.54;0.97;12.4;7
7.7;0.55;0.25;3.2;0.041;19;44;0.9991;3.42;0.54;9.4;5
10.1;0.81;0.18;1.5;0.054;39;113;0.9976;3.19;0.33;10.7;4
7.3;0.31;0.24;1.9;0.062;15;57;0.9979;3.33;0.56;9.4;6
9.8;0.27;0.2;2.2;0.035;12;29;1.0008;2.95;0.53;14.5;7
6.4;0.56;0.01;3.1;0.033;8;28;0.9949;3.11;0.37;10.6;6
9.2;0.54;0.13;1.4;0.091;6;14;0.997;3.2;0.59;9.8;5
10.8;0.56;0.37;2.0;0.135;6;20;1.0004;3.19;0.83;11.1;6
4.6;0.57;0.33;2.2;0.025;13;45;1.0008;3.5;0.56;11.2;5
6.9;0.49;0.3;2.4;0.018;18;52;0.996;3.02;0.59;10.8;6
9.3;0.79;0.08;3.8;0.149;15;44;1.0005;3.09;0.89;10.1;5
8.0;0.24;0.24;1.5;0.038;4;12;0.9982;3.38;0.53;10.9;7
9.0;0.38;0.0;3.7;0.06;9;25;0.9995;3.35;0.76;10.3;6
7.3;0.51;0.31;3.0;0.039;20;74;0.9982;3.26;0.37;10.4;5
8.5;0.23;0.55;2.4;0.02;9;36;0.9973;3.63;0.49;9.6;6
8.0;0.5;0.0;3.0;0.065;10;23;1.0009;3.41;0.62;8.9;6
10.4;0.83;0.16;2.0;0.057;19;83;0.9957;3.5;0.86;11.0;5
8.8;0.53;0.34;1.4;0.026;14;39;1.0003;3.3;0.5;11.1;5
8.9;0.57;0.52;2.8;0.048;7;34;1.0006;3.23;0.5;11.8;6
7.6;0.3;0.18;2.3;0.108;28;78;0.9993;3.23;0.7;10.5;7
7.5;0.42;0.14;2.7;0.066;3;11;0.9966;3.45;0.73;10.2;6
7.6;0.46;0.0;1.8;0.018;66;235;0.9972;3.43;0.48;8.9;6
9.0;0.47;0.29;4.8;0.06;3;7;0.9943;3.28;0.57;10.4;6
7.6;0.76;0.67;2.5;0.085;1;6;0.9958;3.38;0.84;10.8;5
8.8;0.63;0.33;1.3;0.106;27;114;0.9979;3.46;0.46;8.5;5
11.9;0.33;0.27;2.1;0.072;4;12;0.994;3.22;0.72;11.6;7
9.8;0.57;0.33;3.3;0.022;17;45;0.9961;3.26;0.57;9.7;5
7.8;0.62;0.27;3.6;0.086;21;44;1.0004;3.38;0.9;10.2;5
10.4;0.73;0.11;2.2;0.08;25;104;0.9964;3.04;0.76;11.1;5
7.6;0.81;0.43;4.6;0.013;58;153;0.9987;3.38;0.81;10.4;5
4.8;0.35;0.32;1.7;0.044;5;21;0.9978;3.14;0.57;11.9;6
6.6;0.38;0.27;2.0;0.036;16;40;0.9961;3.46;0.8;11.1;7
5.1;0.3;0.08;4.6;0.078;2;10;0.9964;3.64;0.79;10.3;7
7.7;0.49;0.53;4.6;0.027;7;26;0.997;3.2;0.75;8.4;5
8.4;0.61;0.4;2.9;0.066;24;66;0.9928;3.1;0.61;11.5;5
11.2;0.7;0.16;4.1;0.159;6;16;0.9985;3.28;0.69;9.2;5
8.9;0.51;0.47;1.3;0.108;12;29;0.9965;3.27;0.34;11.3;6
7.9;0.47;0.17;4.2;0.165;9;23;0.9986;3.41;0.96;10.9;6
9.8;0.56;0.12;1.8;0.242;13;52;0.9974;3.35;0.56;10.2;5
4.6;0.38;0.12;1.5;0.013;44;139;0.9964;3.27;0.6;11.4;6
8.7;0.9;0.0;1.6;0.07;2;6;0.9971;3.32;0.43;11.0;4
9.7;0.24;0.36;2.0;0.044;11;31;0.9971;3.14;0.77;10.8;7
5.7;0.56;0.0;1.6;0.13;25;72;0.9995;3.44;0.75;8.6;5
10.3;0.89;0.03;1.8;0.029;9;13;0.9968;3.56;0.61;10.5;4
8.9;0.53;0.0;1.4;0.25;2;6;0.9972;3.13;0.33;9.1;5
7.6;0.49;0.25;1.7;0.069;11;39;0.9943;3.07;0.54;9.2;5
9.4;0.46;0.24;2.5;0.107;6;17;0.9966;3.25;0.74;10.0;6
12.3;0.5;0.21;2.1;0.017;3;10;0.9995;3.12;0.7;12.0;6
8.6;0.77;0.07;1.8;0.024;24;80;0.9975;3.11;0.65;10.8;5
8.8;0.13;0.04;3.3;0.097;10;27;0.9946;3.1;0.59;10.9;7
7.5;0.8;0.36;4.6;0.013;33;120;0.9948;3.28;0.39;11.2;5
6.8;0.27;0.16;3.3;0.114;21;86;0.9953;3.25;0.82;9.5;7
9.8;0.48;0.33;1.8;0.013;15;27;0.9986;3.37;0.41;8.7;5
6.8;0.45;0.1;3.2;0.076;1;6;0.9984;3.22;0.62;8.5;6
8.4;0.63;0.31;1.4;0.039;8;37;0.9901;3.12;0.48;10.7;5
7.5;0.24;0.53;1.4;0.069;4;11;0.9965;3.31;0.83;11.5;7
9.2;0.61;0.39;1.8;0.083;30;89;0.997;3.15;0.76;11.4;6
8.9;0.89;0.19;3.7;0.037;3;9;0.9949;3.39;0.6;9.5;4
10.1;0.28;0.32;1.6;0.019;5;20;0.996;3.05;0.78;11.9;7
7.4;0.56;0.22;1.3;0.016;10;22;0.9992;2.98;0.4;12.6;5
7.9;0.41;0.27;1.4;0.065;5;17;0.9975;3.06;0.64;11.1;6
6.6;0.6;0.21;4.1;0.056;4;11;0.9958;3.25;0.48;12.0;5
7.5;0.53;0.24;2.7;0.093;12;29;0.9963;3.27;0.83;11.4;6
9.0;0.41;0.31;1.6;0.055;2;6;0.9963;3.33;0.72;10.2;6
9.6;0.62;0.08;2.4;0.045;2;6;0.9972;3.22;0.77;9.7;5
6.7;0.85;0.07;2.3;0.042;7;17;0.994;3.18;0.56;8.7;4
9.8;0.49;0.0;2.8;0.014;16;63;0.9954;3.53;0.78;9.9;6
10.7;0.66;0.0;1.6;0.037;11;26;0.9987;3.49;0.47;10.2;5
9.0;0.3;0.03;4.2;0.236;8;24;0.9966;3.46;0.49;10.2;7
11.6;0.36;0.3;1.8;0.136;11;38;0.9951;3.36;0.63;10.3;7
7.0;0.61;0.1;3.0;0.036;6;20;0.9952;3.37;0.5;8.4;5
6.2;0.79;0.37;1.2;0.065;34;123;0.9981;3.19;0.78;11.3;5
5.2;0.59;0.28;1.9;0.125;2;6;0.9957;3.33;0.58;11.4;5
10.9;0.47;0.0;1.9;0.047;14;50;0.9977;3.17;0.47;10.8;6
9.5;0.53;0.4;2.4;0.013;28;97;0.9955;3.15;0.45;9.2;5
8.2;0.3;0.43;1.3;0.017;21;78;0.9946;3.06;0.78;10.8;7
8.8;0.64;0.08;3.5;0.055;3;6;0.9972;3.37;0.33;10.4;5
6.4;0.69;0.35;1.6;0.221;5;18;0.9965;3.34;0.49;10.9;5
12.6;0.45;0.1;2.9;0.083;16;60;0.998;3.26;0.9;12.1;7
8.5;0.44;0.29;3.6;0.016;2;6;0.9984;3.24;0.6;10.2;6
8.5;0.58;0.02;2.4;0.025;21;54;0.996;3.03;0.78;10.6;5
9.6;0.45;0.0;3.2;0.101;16;40;0.9974;3.35;0.73;9.5;6
9.2;0.52;0.2;2.8;0.122;17;36;0.996;3.26;0.63;11.4;6
8.7;0.9;0.25;1.9;0.07;2;8;0.9979;3.45;0.38;11.2;4
6.9;0.48;0.19;3.7;0.074;16;78;0.9971;3.33;0.43;10.7;6
9.1;0.46;0.04;1.7;0.014;15;37;0.9955;3.42;0.43;9.3;5
11.6;0.41;0.19;2.5;0.118;22;59;0.9954;3.31;0.74;9.7;6
10.7;0.66;0.32;3.3;0.105;2;6;0.9972;3.34;0.77;8.5;5
11.1;0.5;0.26;1.9;0.03;1;6;0.9989;3.45;0.51;9.7;5
7.4;0.41;0.31;1.7;0.086;7;16;0.9984;3.28;0.64;11.2;6
6.6;0.76;0.14;2.1;0.027;3;9;0.9949;3.38;0.66;10.8;5
8.1;0.78;0.5;3.8;0.014;11;25;0.9951;3.24;0.67;10.6;5
8.4;0.42;0.04;5.2;0.025;31;122;0.9954;3.29;0.53;12.0;6
10.2;0.19;0.37;2.4;0.024;7;14;0.9956;3.56;0.94;10.7;8
5.4;0.71;0.5;2.8;0.037;23;87;0.9932;3.41;0.77;9.8;5
11.0;0.41;0.36;4.7;0.045;1;6;0.9982;3.23;0.67;9.7;6
8.0;0.67;0.23;1.4;0.055;3;11;0.9958;3.38;0.57;10.2;5
7.6;0.18;0.17;1.6;0.051;1;6;0.9976;3.11;0.52;9.9;7
6.6;0.69;0.47;3.1;0.031;6;18;0.9961;3.28;0.73;11.4;5
5.4;0.31;0.0;3.8;0.014;30;79;0.9967;3.16;0.58;10.9;6
9.8;0.66;0.08;4.1;0.068;2;6;0.9954;3.38;0.68;10.1;5
8.4;0.53;0.19;2.0;0.042;12;27;0.9966;3.28;0.34;10.1;5
6.1;0.36;0.51;1.3;0.033;8;25;0.995;3.35;0.57;11.2;7
6.1;0.46;0.35;2.1;0.133;34;77;0.9967;3.43;0.64;11.5;6
7.7;0.65;0.08;1.6;0.094;3;7;0.9995;3.24;0.82;8.4;5
11.2;0.55;0.21;1.7;0.129;4;13;0.9977;3.25;0.5;10.2;5
7.9;0.63;0.15;3.4;0.053;1;6;0.9973;3.31;0.41;10.5;5
5.7;0.88;0.13;1.3;0.02;8;30;0.9942;3.18;0.73;11.0;4
7.9;0.25;0.46;3.8;0.083;5;16;0.9978;3.31;0.65;10.5;7
7.8;0.82;0.0;2.0;0.026;25;84;0.998;3.32;0.37;10.9;4
4.6;0.55;0.58;2.6;0.047;12;30;0.9972;3.35;0.37;10.2;5
